,MKT,SMB,HML,UMD,RF
YYYY-00-DD 00:00:SS,-0.0433,0.0611,-0.0134,0.0227,0.0041
YYYY-00-DD 00:00:SS,0.0288,0.2162,-0.0851,0.1879,0.0043
YYYY-00-DD 00:00:SS,0.0567,-0.1635,0.0813,-0.0592,0.0047
YYYY-00-DD 00:00:SS,-0.0594,-0.0647,0.0787,-0.0811,0.0046
YYYY-00-DD 00:00:SS,-0.0392,-0.0583,0.0551,-0.0858,0.005
YYYY-00-DD 00:00:SS,0.0504,0.132,-0.0782,0.1699,0.004
YYYY-00-DD 00:00:SS,-0.0203,-0.0268,0.0888,0.0037,0.0048
YYYY-00-DD 00:00:SS,0.0753,-0.0015,-0.0097,0.062,0.005
YYYY-00-DD 00:00:SS,-0.0494,-0.0138,0.0779,0.0271,0.0051
YYYY-00-DD 00:00:SS,-0.022,-0.0331,0.0627,-0.0407,0.0056
YYYY-00-DD 00:00:SS,-0.1021,-0.0299,0.1304,-0.0189,0.0051
YYYY-00-DD 00:00:SS,0.0169,0.0123,0.0817,0.072,0.005
YYYY-00-DD 00:00:SS,0.0367,0.073,-0.0479,-0.2451,0.0054
YYYY-00-DD 00:00:SS,-0.0967,-0.0044,0.1296,0.1289,0.0038
YYYY-00-DD 00:00:SS,-0.0684,0.0059,0.0694,0.0877,0.0042
YYYY-00-DD 00:00:SS,0.0833,0.01,-0.0441,-0.0758,0.0039
YYYY-00-DD 00:00:SS,0.0104,0.0285,0.0366,0.0244,0.0032
YYYY-00-DD 00:00:SS,-0.0166,0.0653,-0.0088,0.0062,0.0028
YYYY-00-DD 00:00:SS,-0.0183,-0.0393,0.0565,0.0577,0.003
YYYY-00-DD 00:00:SS,-0.0615,0.0279,0.0264,0.0585,0.0031
YYYY-00-DD 00:00:SS,-0.0897,-0.0597,0.0185,0.1182,0.0028
YYYY-00-DD 00:00:SS,0.0268,0.0779,-0.0744,-0.0819,0.0022
YYYY-00-DD 00:00:SS,0.0771,-0.0031,0.0233,-0.0841,0.0017
YYYY-00-DD 00:00:SS,0.0175,0.0494,0.0105,0.0014,0.0015
YYYY-00-DD 00:00:SS,-0.013,0.0132,0.0352,0.0382,0.0014
YYYY-00-DD 00:00:SS,-0.0216,-0.0094,0.0234,0.069,0.0013
YYYY-00-DD 00:00:SS,0.0437,0.0427,0.0121,-0.0154,0.0013
YYYY-00-DD 00:00:SS,-0.0505,0.0599,0.0411,0.081,0.0015
YYYY-00-DD 00:00:SS,-0.0124,-0.0312,0.0171,0.0311,0.0014
YYYY-00-DD 00:00:SS,-0.0708,0.0433,0.0017,0.0628,0.0013
YYYY-00-DD 00:00:SS,-0.0803,-0.0507,-0.0356,0.0349,0.0015
YYYY-00-DD 00:00:SS,0.0064,-0.028,0.0337,0.019,0.0014
YYYY-00-DD 00:00:SS,-0.1021,0.0253,0.0163,0.0923,0.0014
YYYY-00-DD 00:00:SS,0.0798,-0.033,-0.0393,-0.0517,0.0014
YYYY-00-DD 00:00:SS,0.0608,0.0335,-0.0139,-0.1607,0.0012
YYYY-00-DD 00:00:SS,-0.0565,0.001,0.0239,0.0975,0.0011
YYYY-00-DD 00:00:SS,-0.0247,0.0138,-0.0076,0.017,0.001
YYYY-00-DD 00:00:SS,-0.0179,-0.0037,-0.0124,0.0134,0.0009
YYYY-00-DD 00:00:SS,0.0119,0.0103,-0.0205,0.017,0.001
YYYY-00-DD 00:00:SS,0.0832,0.0074,0.0099,-0.0939,0.001
YYYY-00-DD 00:00:SS,0.0614,0.0458,0.002,-0.1076,0.0009
YYYY-00-DD 00:00:SS,0.0152,0.0185,0.0049,-0.0099,0.001
YYYY-00-DD 00:00:SS,0.0242,0.053,-0.0101,-0.0024,0.0007
YYYY-00-DD 00:00:SS,0.0241,0.0277,0.0168,-0.0048,0.0007
YYYY-00-DD 00:00:SS,-0.0116,0.0079,0.0013,-0.0011,0.0008
YYYY-00-DD 00:00:SS,0.0615,0.0271,0.0199,0.038,0.0007
YYYY-00-DD 00:00:SS,0.0142,0.0206,0.0187,0.017,0.0007
YYYY-00-DD 00:00:SS,0.0437,-0.0268,0.0166,-0.0561,0.0008
YYYY-00-DD 00:00:SS,0.0222,0.026,0.0252,0.0266,0.0007
YYYY-00-DD 00:00:SS,0.0146,-0.015,0.0092,-0.0101,0.0006
YYYY-00-DD 00:00:SS,-0.0123,0.0184,0.0033,0.0031,0.0009
YYYY-00-DD 00:00:SS,-0.0175,-0.0165,-0.0299,-0.0529,0.0008
YYYY-00-DD 00:00:SS,0.0123,-0.0018,-0.0023,0.0165,0.0006
YYYY-00-DD 00:00:SS,0.0194,0.0236,0.0131,0.0217,0.0008
YYYY-00-DD 00:00:SS,-0.0396,-0.0375,0.0338,-0.0218,0.001
YYYY-00-DD 00:00:SS,0.0019,-0.0145,0.0107,-0.0147,0.0011
YYYY-00-DD 00:00:SS,0.0171,0.0312,0.0004,0.0536,0.0011
YYYY-00-DD 00:00:SS,0.0154,0.0024,-0.0018,-0.0141,0.0011
YYYY-00-DD 00:00:SS,0.0469,0.0387,0.0158,0.0338,0.0015
YYYY-00-DD 00:00:SS,0.0359,0.0009,-0.0002,-0.0267,0.0016
YYYY-00-DD 00:00:SS,-0.026,-0.0156,0.0217,0.0335,0.0016
YYYY-00-DD 00:00:SS,0.0205,-0.0039,0.0179,0.0334,0.0016
YYYY-00-DD 00:00:SS,-0.0176,-0.0114,0.0235,0.0076,0.0021
YYYY-00-DD 00:00:SS,-0.024,-0.0376,0.0026,-0.0064,0.0021
YYYY-00-DD 00:00:SS,0.0389,0.0304,-0.0042,0.0067,0.0024
YYYY-00-DD 00:00:SS,0.008,0.0278,0.0305,0.0229,0.0023
YYYY-00-DD 00:00:SS,0.0416,0.0311,-0.0059,0.0021,0.0024
YYYY-00-DD 00:00:SS,-0.0092,-0.0068,0.0168,0.0257,0.003
YYYY-00-DD 00:00:SS,0.0078,-0.0037,0.0103,0.0374,0.0029
YYYY-00-DD 00:00:SS,-0.0175,-0.0092,0.0072,-0.0103,0.0027
YYYY-00-DD 00:00:SS,0.0392,0.0128,-0.0085,0.0058,0.0031
YYYY-00-DD 00:00:SS,0.0007,-0.0014,0.0056,0.0108,0.0032
YYYY-00-DD 00:00:SS,0.0339,0.0575,0.0134,0.0303,0.0035
YYYY-00-DD 00:00:SS,0.0004,-0.0003,0.0008,-0.015,0.0034
YYYY-00-DD 00:00:SS,0.0183,0.0386,0.0105,0.0163,0.0037
YYYY-00-DD 00:00:SS,0.0109,-0.0105,0.0273,0.0097,0.0036
YYYY-00-DD 00:00:SS,-0.0314,-0.0266,0.0288,-0.0322,0.0043
YYYY-00-DD 00:00:SS,0.0005,0.0004,0.0132,0.0187,0.004
YYYY-00-DD 00:00:SS,-0.0038,-0.0359,0.0307,-0.0182,0.004
YYYY-00-DD 00:00:SS,0.0245,0.0144,-0.0156,-0.0304,0.0042
YYYY-00-DD 00:00:SS,0.0225,-0.0088,0.0037,-0.0054,0.0041
YYYY-00-DD 00:00:SS,0.0364,0.0213,0.0011,0.0017,0.0041
YYYY-00-DD 00:00:SS,0.0213,0.012,0.0049,-0.0059,0.0042
YYYY-00-DD 00:00:SS,0.0127,-0.0074,0.0312,0.0124,0.004
YYYY-00-DD 00:00:SS,0.0184,0.006,-0.0025,0.0062,0.0044
YYYY-00-DD 00:00:SS,-0.0158,0.0167,0.0021,-0.0098,0.0038
YYYY-00-DD 00:00:SS,0.0111,0.0051,-0.004,0.0293,0.0043
YYYY-00-DD 00:00:SS,0.0393,-0.0174,-0.0094,0.0029,0.0044
YYYY-00-DD 00:00:SS,0.0365,0.0068,-0.0022,0.0014,0.0041
YYYY-00-DD 00:00:SS,-0.0156,0.0118,-0.007,0.0079,0.004
YYYY-00-DD 00:00:SS,-0.0333,-0.0205,-0.0315,0.0321,0.004
YYYY-00-DD 00:00:SS,0.0134,0.0025,-0.0149,0.0052,0.0042
YYYY-00-DD 00:00:SS,0.0354,-0.019,-0.0189,0.0489,0.0032
YYYY-00-DD 00:00:SS,0.0212,0.0057,-0.0259,0.052,0.0032
YYYY-00-DD 00:00:SS,-0.0449,-0.0246,-0.0066,0.0124,0.0034
YYYY-00-DD 00:00:SS,-0.006,0.0041,-0.0032,0.0681,0.0027
YYYY-00-DD 00:00:SS,-0.0615,-0.0068,0.0388,-0.0767,0.0021
YYYY-00-DD 00:00:SS,-0.0296,-0.0014,-0.0075,0.0624,0.0013
YYYY-00-DD 00:00:SS,-0.0076,0.0096,0.0031,0.0427,0.0017
YYYY-00-DD 00:00:SS,0.0478,-0.0141,-0.0078,-0.0015,0.0018
YYYY-00-DD 00:00:SS,0.0204,0.0323,-0.0127,0.0339,0.0018
YYYY-00-DD 00:00:SS,-0.0827,0.0139,-0.026,0.1271,0.0017
YYYY-00-DD 00:00:SS,-0.0062,0.0262,0.0542,-0.0498,0.0015
YYYY-00-DD 00:00:SS,0.0166,0.0367,0.0158,-0.039,0.0013
YYYY-00-DD 00:00:SS,-0.0909,-0.0103,0.0622,0.0051,0.0015
YYYY-00-DD 00:00:SS,-0.1715,-0.0244,-0.0229,0.0787,0.0008
YYYY-00-DD 00:00:SS,-0.0783,-0.0279,-0.0628,0.072,0.0003
YYYY-00-DD 00:00:SS,0.0174,0.0351,0.0014,-0.0507,0
YYYY-00-DD 00:00:SS,-0.0812,0.0033,-0.1112,-0.0182,0
YYYY-00-DD 00:00:SS,-0.1009,0.0024,-0.0702,0.0404,0.0001
YYYY-00-DD 00:00:SS,0.0897,0.0002,0.0342,-0.1159,0.0002
YYYY-00-DD 00:00:SS,0.1019,0.0515,0.0522,-0.3438,0.0001
YYYY-00-DD 00:00:SS,0.0521,-0.0263,0.0049,-0.1247,0
YYYY-00-DD 00:00:SS,0.0044,0.0264,-0.0261,0.0531,0.0001
YYYY-00-DD 00:00:SS,0.0773,0.0191,0.0488,-0.0536,0.0001
YYYY-00-DD 00:00:SS,0.0334,-0.0109,0.0751,-0.0881,0.0001
YYYY-00-DD 00:00:SS,0.0409,0.0242,0.009,-0.0494,0.0001
YYYY-00-DD 00:00:SS,-0.0259,-0.0418,-0.0403,0.0266,0
YYYY-00-DD 00:00:SS,0.0556,-0.0248,-0.0025,0.0033,0
YYYY-00-DD 00:00:SS,0.0276,0.0614,-0.001,0.0292,0.0001
YYYY-00-DD 00:00:SS,-0.0336,0.0037,0.0033,-0.0536,0
YYYY-00-DD 00:00:SS,0.034,0.0119,0.0319,0.0363,0
YYYY-00-DD 00:00:SS,0.0632,0.0145,0.0212,0.0372,0.0001
YYYY-00-DD 00:00:SS,0.0201,0.0487,0.0292,0.0322,0.0001
YYYY-00-DD 00:00:SS,-0.0788,0.0015,-0.0238,-0.0016,0.0001
YYYY-00-DD 00:00:SS,-0.0556,-0.0183,-0.0451,-0.0298,0.0001
YYYY-00-DD 00:00:SS,0.0694,0.0019,-0.0035,0.0191,0.0001
YYYY-00-DD 00:00:SS,-0.0476,-0.0301,-0.0189,-0.0017,0.0001
YYYY-00-DD 00:00:SS,0.0955,0.0394,-0.0322,0.0136,0.0001
YYYY-00-DD 00:00:SS,0.0389,0.0108,-0.0245,0.0167,0.0001
YYYY-00-DD 00:00:SS,0.0061,0.0379,-0.0094,0.0255,0.0001
YYYY-00-DD 00:00:SS,0.0683,0.0069,0.0365,-0.0317,0.0001
YYYY-00-DD 00:00:SS,0.02,-0.0251,0.0083,-0.0028,0.0001
YYYY-00-DD 00:00:SS,0.035,0.0154,0.013,0.0209,0.0001
YYYY-00-DD 00:00:SS,0.0047,0.0259,-0.0175,0.0353,0.0001
YYYY-00-DD 00:00:SS,0.029,-0.0037,-0.0243,0.0006,0
YYYY-00-DD 00:00:SS,-0.0127,-0.0058,-0.0205,-0.0057,0
YYYY-00-DD 00:00:SS,-0.0175,-0.0011,-0.0042,0.0177,0
YYYY-00-DD 00:00:SS,-0.0235,-0.0137,-0.0088,-0.0001,0
YYYY-00-DD 00:00:SS,-0.0598,-0.0302,-0.0255,-0.0033,0.0001
YYYY-00-DD 00:00:SS,-0.0759,-0.0335,-0.0171,-0.0252,0
YYYY-00-DD 00:00:SS,0.1135,0.0332,0.0013,-0.0144,0
YYYY-00-DD 00:00:SS,-0.0028,-0.0014,-0.0048,0.0401,0
YYYY-00-DD 00:00:SS,0.0074,-0.0066,0.0168,0.0198,0
YYYY-00-DD 00:00:SS,0.0505,0.021,-0.009,-0.0794,0
YYYY-00-DD 00:00:SS,0.0442,-0.0184,0.0046,-0.0028,0
YYYY-00-DD 00:00:SS,0.0311,-0.0068,0.0121,0.0151,0
YYYY-00-DD 00:00:SS,-0.0085,-0.0039,-0.0077,0.0383,0
YYYY-00-DD 00:00:SS,-0.0618,0.0017,-0.0103,0.0664,0.0001
YYYY-00-DD 00:00:SS,0.0389,0.0078,0.0058,-0.0076,0
YYYY-00-DD 00:00:SS,0.0079,-0.0262,-0.0005,0.031,0
YYYY-00-DD 00:00:SS,0.0256,0.0048,0.0113,-0.0246,0.0001
YYYY-00-DD 00:00:SS,0.0274,0.005,0.0157,-0.0105,0.0001
YYYY-00-DD 00:00:SS,-0.0175,-0.0108,0.0362,0.0009,0.0001
YYYY-00-DD 00:00:SS,0.0079,0.0054,-0.0082,0.0041,0.0001
YYYY-00-DD 00:00:SS,0.0119,0.0146,0.0354,-0.0294,0.0001
YYYY-00-DD 00:00:SS,0.0557,0.0036,0.0098,-0.019,0
YYYY-00-DD 00:00:SS,0.0129,-0.0042,0.0013,0.0131,0
YYYY-00-DD 00:00:SS,0.0403,0.0075,-0.0023,0.0196,0
YYYY-00-DD 00:00:SS,0.0155,-0.024,0.0053,0.0027,0
YYYY-00-DD 00:00:SS,0.028,0.0166,0.0261,-0.0174,0
YYYY-00-DD 00:00:SS,-0.012,0.0116,-0.0009,0.0058,0
YYYY-00-DD 00:00:SS,0.0565,0.0186,0.0056,0.0178,0
YYYY-00-DD 00:00:SS,-0.0271,0.0029,-0.0266,0.0002,0
YYYY-00-DD 00:00:SS,0.0377,0.0289,-0.0115,0.0296,0
YYYY-00-DD 00:00:SS,0.0418,-0.0153,0.0121,0.0017,0
YYYY-00-DD 00:00:SS,0.0313,0.0119,0.0029,0.0044,0
YYYY-00-DD 00:00:SS,0.0281,-0.0059,-0.0005,0.0007,0
YYYY-00-DD 00:00:SS,-0.0332,0.0087,-0.0202,0.0174,0
YYYY-00-DD 00:00:SS,0.0465,0.0031,-0.0036,0.0205,0
YYYY-00-DD 00:00:SS,0.0043,-0.0185,0.049,-0.0338,0
YYYY-00-DD 00:00:SS,-0.0019,-0.0421,0.0112,-0.0377,0
YYYY-00-DD 00:00:SS,0.0206,-0.019,-0.0012,0.0121,0
YYYY-00-DD 00:00:SS,0.0261,0.0308,-0.0067,0.0074,0
YYYY-00-DD 00:00:SS,-0.0204,-0.0427,0.0002,-0.0024,0
YYYY-00-DD 00:00:SS,0.0424,0.0036,-0.0042,0.0079,0
YYYY-00-DD 00:00:SS,-0.0197,-0.0373,-0.0138,0.0044,0
YYYY-00-DD 00:00:SS,0.0252,0.0428,-0.018,-0.0004,0
YYYY-00-DD 00:00:SS,0.0255,-0.0204,-0.0307,0.0106,0
YYYY-00-DD 00:00:SS,-0.0006,0.0248,0.0223,0.0109,0
YYYY-00-DD 00:00:SS,-0.0311,-0.0051,-0.0356,0.0381,0
YYYY-00-DD 00:00:SS,0.0614,0.0052,-0.0181,-0.0283,0
YYYY-00-DD 00:00:SS,-0.0112,0.0302,-0.0041,0.03,0
YYYY-00-DD 00:00:SS,0.0059,-0.0304,0.0188,-0.0732,0
YYYY-00-DD 00:00:SS,0.0136,0.0089,-0.011,0.0603,0
YYYY-00-DD 00:00:SS,-0.0153,0.0285,-0.0074,0.0307,0
YYYY-00-DD 00:00:SS,0.0154,-0.0409,-0.0421,0.1029,0
YYYY-00-DD 00:00:SS,-0.0604,0.0044,0.0273,-0.0209,0
YYYY-00-DD 00:00:SS,-0.0307,-0.0261,0.0039,0.0535,0
YYYY-00-DD 00:00:SS,0.0775,-0.0198,-0.0025,-0.0403,0
YYYY-00-DD 00:00:SS,0.0056,0.0368,-0.0049,0.0221,0
YYYY-00-DD 00:00:SS,-0.0216,-0.0285,-0.0244,0.0342,0.0001
YYYY-00-DD 00:00:SS,-0.0576,-0.0335,0.0202,0.0135,0.0001
YYYY-00-DD 00:00:SS,-0.0006,0.0085,-0.0057,-0.0404,0.0002
YYYY-00-DD 00:00:SS,0.0698,0.0084,0.0113,-0.0511,0.0002
YYYY-00-DD 00:00:SS,0.0093,0.007,0.0329,-0.0625,0.0001
YYYY-00-DD 00:00:SS,0.0179,-0.0026,-0.0159,0.0215,0.0001
YYYY-00-DD 00:00:SS,-0.0003,0.0066,-0.0138,0.0413,0.0002
YYYY-00-DD 00:00:SS,0.0397,0.0262,-0.0121,-0.0306,0.0002
YYYY-00-DD 00:00:SS,0.0052,0.0115,0.0333,-0.0315,0.0002
YYYY-00-DD 00:00:SS,0.0027,0.0206,-0.0119,-0.0051,0.0002
YYYY-00-DD 00:00:SS,-0.02,-0.0441,0.0409,0.0071,0.0002
YYYY-00-DD 00:00:SS,0.0487,0.0548,0.0823,-0.0406,0.0001
YYYY-00-DD 00:00:SS,0.0185,0.0014,0.0354,-0.0035,0.0003
YYYY-00-DD 00:00:SS,0.0198,-0.0102,-0.0277,-0.0094,0.0004
YYYY-00-DD 00:00:SS,0.0361,-0.0197,-0.0175,-0.0159,0.0004
YYYY-00-DD 00:00:SS,0.002,0.012,-0.033,-0.0089,0.0003
YYYY-00-DD 00:00:SS,0.0114,0.0077,-0.0206,0.0049,0.0005
YYYY-00-DD 00:00:SS,0.0112,-0.0255,-0.0361,0.0152,0.0006
YYYY-00-DD 00:00:SS,0.0084,0.0221,0.0151,-0.0026,0.0006
YYYY-00-DD 00:00:SS,0.0194,-0.014,-0.0029,0.0173,0.0007
YYYY-00-DD 00:00:SS,0.0025,-0.0153,-0.021,0.0364,0.0009
YYYY-00-DD 00:00:SS,0.026,0.0456,0.0323,-0.0109,0.0009
YYYY-00-DD 00:00:SS,0.0234,-0.0186,0.0021,0.0439,0.0009
YYYY-00-DD 00:00:SS,0.032,-0.005,-0.0000999999999999999,-0.0063,0.0008
YYYY-00-DD 00:00:SS,0.0115,-0.012,0.0026,-0.0154,0.0009
YYYY-00-DD 00:00:SS,0.0569,-0.0298,-0.0121,0.0405,0.0011
YYYY-00-DD 00:00:SS,-0.0354,0.0041,-0.009,0.0408,0.0011
YYYY-00-DD 00:00:SS,-0.0223,0.0417,0,-0.0116,0.0012
YYYY-00-DD 00:00:SS,0.0043,0.0127,0.0064,0.0041,0.0014
YYYY-00-DD 00:00:SS,0.0279,0.0542,-0.0301,0.0394,0.0014
YYYY-00-DD 00:00:SS,0.0062,0.0133,-0.0217,-0.0224,0.0014
YYYY-00-DD 00:00:SS,0.0335,-0.0205,0.0073,-0.0151,0.0016
YYYY-00-DD 00:00:SS,0.036,0.0131,-0.0376,0.0538,0.0016
YYYY-00-DD 00:00:SS,0.0021,-0.0213,-0.0148,0.0009,0.0015
YYYY-00-DD 00:00:SS,-0.0749,-0.0459,0.0365,-0.0165,0.0019
YYYY-00-DD 00:00:SS,0.0187,-0.0053,0.0052,-0.0115,0.0018
YYYY-00-DD 00:00:SS,-0.0936,-0.0229,-0.017,0.0204,0.0019
YYYY-00-DD 00:00:SS,0.0862,0.031,-0.0025,-0.0844,0.0021
YYYY-00-DD 00:00:SS,0.0358,0.023,-0.0253,0.0104,0.0018
YYYY-00-DD 00:00:SS,0.0129,-0.0286,-0.04,0.0233,0.0019
YYYY-00-DD 00:00:SS,0.0417,-0.0154,0.0223,-0.0234,0.0021
YYYY-00-DD 00:00:SS,-0.0673,-0.0097,-0.0207,0.0781,0.0021
YYYY-00-DD 00:00:SS,0.0711,0.004,-0.0061,-0.0196,0.0018
YYYY-00-DD 00:00:SS,0.0138,-0.0189,0.0053,0.0291,0.0019
YYYY-00-DD 00:00:SS,-0.0242,-0.0224,-0.0469,0.078,0.0016
YYYY-00-DD 00:00:SS,0.0161,-0.0087,0.0695,-0.0667,0.0018
YYYY-00-DD 00:00:SS,0.0221,0.0039,-0.0173,0.0044,0.0015
YYYY-00-DD 00:00:SS,0.0399,0.0103,-0.0193,-0.0248,0.0012
YYYY-00-DD 00:00:SS,0.0291,0.0081,0.0205,-0.0213,0.0014
YYYY-00-DD 00:00:SS,0.0002,-0.0295,-0.0614,0.0556,0.0013
YYYY-00-DD 00:00:SS,-0.0801,0.0114,-0.038,-0.0011,0.0012
YYYY-00-DD 00:00:SS,-0.1326,-0.0491,-0.1384,0.0866,0.0012
YYYY-00-DD 00:00:SS,0.1365,0.0275,-0.0139,-0.0549,0
YYYY-00-DD 00:00:SS,0.0559,0.025,-0.0504,0.0068,0.0001
YYYY-00-DD 00:00:SS,0.0247,0.0272,-0.0234,-0.0074,0.0001
YYYY-00-DD 00:00:SS,0.0578,-0.0217,-0.0138,0.0762,0.0001
YYYY-00-DD 00:00:SS,0.0764,-0.0024,-0.0293,0.0052,0.0001
YYYY-00-DD 00:00:SS,-0.0362,0.0007,-0.025,0.0306,0.0001
YYYY-00-DD 00:00:SS,-0.0209,0.0445,0.0404,-0.0302,0.0001
YYYY-00-DD 00:00:SS,0.1248,0.0549,0.0212,-0.1224,0.0001
YYYY-00-DD 00:00:SS,0.0464,0.0482,-0.0135,-0.0241,0.0001
YYYY-00-DD 00:00:SS,-0.0003,0.0719,0.0285,0.0436,0
YYYY-00-DD 00:00:SS,0.0278,0.0211,0.0708,-0.0767,0
YYYY-00-DD 00:00:SS,0.0308,-0.0248,0.074,-0.0583,0
YYYY-00-DD 00:00:SS,0.0493,-0.0309,-0.0074,0.0101,0
YYYY-00-DD 00:00:SS,0.0029,-0.0022,0.0705,0.0052,0